162256,2128212913 2159253281 ,1532325895 1880262756 1956559956 1996764654 2024932032 2072644219 2096814070 2097018403 2112050062 2119650157 2123504323 2131303329 2132827946 2145001205 2159426623 
771098,2154613642 159610316 1832751096 2043338016 2100069631 1979876342 ,1571024744 1571206585 1760882240 2015249729 2112857266 
905619,2169917266 ,1492459858 1498671329 1574851760 1599482965 1775587472 1962147060 1985123706 1985142965 1990811538 1994520254 2028355641 2079135578 2086058123 2102138843 2103972604 2107547393 2108687351 2109706083 2121133091 2126746199 2127271355 2151693816 2157728552 2160741287 2167077875 2168227362 2168893847 2170344647 2170402521 2218569681 2226582656 2325363087 2406730648 2963169589 2964262905 
1365889,2088212047 ,905619 1574851760 1986753844 2001125761 2005688170 2045220410 2047028564 2109521352 2115364117 2119073761 2134332047 2146130798 2159514083 2165644552 2913088541 2963670588 
3401598,2525862771 2259100201 2014508897 ,1624701674 1743960514 2041517243 2102121202 2110529144 2115067168 2132737349 2135973421 2138996412 2153029569 2161340280 2165599843 2167433878 
4919037,2222847076 2087742686 2762609165 2226714033 2166320536 ,1665214252 1904365287 1907282891 2131241448 2134557905 2164359548 2951128674 
8545729,2637028757 2099769723 ,2021630848 2025402514 2028214808 2035720976 2047221353 2053920233 2054992248 2056716237 2070771761 2105842272 2107890099 2111233787 2120100126 2121824931 2127176025 2143331230 2151043605 2168920183 2177508090 2395021187 
10765648,2161866848 2112810595 ,2105918531 2106491486 2128638419 2132283655 2134563198 2160354932 2163112044 2167349346 
13260401,2090618807 2106058134 2130456104 2619145315 ,149581298 2061810505 2063513989 2108807072 2130399617 2133958955 2136688338 2147102238 2151976295 2156909104 2157366440 2162152253 
14566539,2313184976 2145726188 ,92269582 1984553293 1987820147 1996287810 1998938582 2007453627 2009596443 2014596061 2024729328 2027717478 2072378378 2109531142 2110588405 2146820706 2161419360 2162366839 2163406054 
