84117214,2025527066 2050362196 ,0
105550267,2277396061 175141898 ,1561994953 1955600018 1988497044 1992419399 1996747841 1999646319 2003078486 2012810179 2051224630 2060979493 2062696711 2108323654 2118808755 2149596792 2171975443 
167216952,2275174282 2084635933 ,0
186407084,2709506286 1948338481 ,0
222799958,217362401 2140064154 2693475689 ,42769906 1518138188 1602182271 1677409904 1814598697 1887734902 1967979390 1979260620 1983793001 1991452654 1998443077 1998667615 2014764728 2014850105 2018326367 2026486079 2043409787 2046835352 2048110836 2058226207 2058960217 2062104878 2062677035 2068042582 2079678116 2079972027 2089074647 2090504921 2097018403 2098807270 2103610282 2104752854 2106053110 2109289979 2113606819 2113609219 2115669554 2120100419 2122378993 2123115309 2125889200 2126791727 2132886138 2137894166 2139763424 2140245639 2145773134 2151065677 2151103935 2151873133 2163808566 2165554381 2169495281 2270746126 
260169811,2103741901 2122230155 ,1627400044 1644552752 1993120651 2016331656 2018027977 2059230458 2075708502 2077786999 2097073572 2097074225 2097921974 2109932901 2111284499 2116013899 2145940484 2165428671 2232702494 2292976057 
268387596,2589362712 ,978295773 1931505704 2032982318 2074217423 2159951683 
418096420,317672608 60833624 ,345598540 1572101153 1579559187 1845678715 1964215855 1973599361 1992408872 2016999436 2054978444 2055802044 2064309976 2066046967 2071355008 2087499062 2107173102 2110151157 2111258529 2116013899 2125241117 2133569709 2140094223 2140865211 2145534432 2146337213 2149723649 2150134853 2168878035 2170024818 2295936755 
425251948,2089644616 2171349491 273705761 2051564305 ,9783058 1491719799 1560959218 1676552347 1949116567 1980911747 2005756025 2085261163 2099046646 2102570530 2105799736 2118223845 2118743891 2119605622 2120504013 2124722975 2130103520 2141231167 2151103935 2154422044 2160225842 2162762921 2166928547 2170282673 2177274842 2296249689 2911652069 
438737996,2420547463 2100438523 ,1966591781 1988448157 2054681730 2061123221 2061398375 2070024222 2072738093 2080842580 2106404777 2112536643 2122827492 2124041826 2148539226 
565356442,2123216905 1937838343 2516531922 2578350212 2074051837 ,1485925895 1653341947 1883744688 1970800786 1980704598 2016829658 2021422668 2039051707 2049719045 2068929320 2075667775 2081868602 2083970667 2084618519 2088600132 2091863778 2095844239 2108193766 2109189215 2112215040 2120340025 2127319406 2128060444 2145023731 2147880316 2151322733 2153166076 2156508493 2156515921 2156605212 2157414682 2161969291 2167219413 2170472910 2915106267 2915527102 
570692371,2647953208 2667005489 1970263507 ,1969158966 1980807298 1996187920 2008104685 2027075083 2057175746 2062689532 2062800698 2066132206 2085367731 2086074953 2104550457 2105026917 2108556791 2111093365 2112247335 2113891902 2123820077 2124637492 2128195125 2131529365 2132103241 2141262001 2152106040 2154332114 2156606946 2157375720 2165414070 
572039631,2407210511 2140000278 ,191887720 370536024 1520757484 2006638151 2011430131 2017100743 2024430996 2028565608 2037414882 2072017174 2073849744 2120887445 2127971792 2137340484 2144243102 2144549472 2149230623 2150593711 2159091719 2912565176 
574505275,2097859824 2049506257 2060000013 2061252935 2123904192 ,1837533429 1976536305 1986014385 1998166956 2001709653 2008436444 2031580264 2046818102 2059251185 2091797369 2107537133 2113698995 2117228865 2125360619 2135226410 2154543878 2161395589 2236233024 2285842192 
583087833,2057037001 2106476298 2097558208 2494791600 ,1458030210 1495360750 1886695513 1980011148 1990192817 1995435481 2009377231 2011356866 2100045669 2103894593 2104422351 2112208913 2113410659 2128398671 2145312568 2149431106 2151103935 2151716941 2163615877 2164311347 2167667767 2296147781 
587473303,2297469246 1270423079 ,1529313332 1588282782 1590481709 1601142477 1656023708 1988790447 1999318832 2005622485 2040884411 2065358485 2074504304 2096945460 2097775060 2107875669 2112119668 2118978333 2129574992 2142250999 2143534004 2148143831 2149298154 2155319834 2911964244 
593800181,2157004865 2633615845 2250254044 2129435983 ,1975659909 1982500521 2070762699 2082396928 2110257684 2126410802 2136525681 2153635508 2170238612 2187451473 
603823736,114916818 2512057741 1266997330 ,1515999713 1968773332 1979849815 1999042468 2014915963 2025216571 2053432263 2098217009 2101965618 2103943262 2104067190 2106390385 2108113956 2109774206 2115941714 2133986780 2139916508 2143899944 2145310492 2153635508 2156909104 2161634108 2161969291 2163352848 2163808566 2167015621 2172279486 2544981553 
604457568,2396159851 2898465046 2114966934 2164604087 ,1983976193 2046699283 2082647352 2144044408 2913946465 
606205799,2597902046 2128048611 2005728876 2624154035 ,1974314515 
